Label,dt,dy,r,E_inf,E_rms
"N=10, Δy=0.2",0.016000,0.2000,0.4000,1.195e-03,8.553e-04
"N=20, Δy=0.1",0.004000,0.1000,0.4000,2.876e-04,2.162e-04
"N=40, Δy=0.05",0.001000,0.0500,0.4000,7.178e-05,5.431e-05
"N=80, Δy=0.025",0.000250,0.0250,0.4000,1.790e-05,1.364e-05
