Label,dt,dy,r,E_inf,E_rms
r=0.5,0.001250,0.0500,0.5000,2.040e-04,1.544e-04
r=2.0,0.005000,0.0500,2.0000,6.575e-04,4.990e-04
r=10.0,0.025000,0.0500,10.0000,2.947e-03,2.266e-03
r=50.0,0.125000,0.0500,50.0000,1.327e-02,1.107e-02
