Label,dt,dy,r,E_inf,E_rms
"N=10, Δy=0.2",0.016000,0.2000,0.4000,2.643e-03,1.930e-03
"N=20, Δy=0.1",0.004000,0.1000,0.4000,6.829e-04,5.161e-04
"N=40, Δy=0.05",0.001000,0.0500,0.4000,1.735e-04,1.313e-04
"N=80, Δy=0.025",0.000250,0.0250,0.4000,4.343e-05,3.308e-05
