Label,dt,dy,r,E_inf,E_rms
"Δt=0.0005, r=0.20",0.000500,0.0500,0.2000,5.110e-05,3.866e-05
"Δt=0.001,  r=0.40",0.001000,0.0500,0.4000,5.110e-05,3.866e-05
"Δt=0.0015, r=0.60",0.001500,0.0500,0.6000,5.112e-05,3.875e-05
"Δt=0.002,  r=0.80",0.002000,0.0500,0.8000,9.441e+06,7.740e+06
