y,u_num_t0.0100,u_num_t0.0500,u_num_t0.1000,u_num_t0.2000,u_num_t0.5000,u_num_t1.0000
-1.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.95,0.004414388671826615,0.011373950690049234,0.016596816395705538,0.023955289076390388,0.036934236554315006,0.04530170735110838
-0.9,0.007047944889790146,0.02056465433394564,0.030917100353428314,0.045566211234798065,0.07144132513651134,0.08812467457314087
-0.85,0.00851929341760101,0.02788075513573882,0.04318148593736466,0.06498728704449945,0.10359366840103323,0.1284900304628439
-0.8,0.009292449280395033,0.03361531539288359,0.053605047589613555,0.08237082738716003,0.1334627730379488,0.16641864247672444
-0.75,0.009676585502968378,0.03803952873715924,0.062394781649465866,0.09786586639079449,0.16111880872919176,0.20193098807623835
-0.7,0.009858023461611805,0.04139801717423562,0.06974738221318719,0.11161713813986947,0.18663017538118015,0.23504702847742848
-0.6499999999999999,0.009939915053760639,0.043905915594659936,0.0758473791813486,0.12376410924708525,0.21006308131014284,0.2657860855833879
-0.6,0.00997540177126392,0.04574774694684121,0.08086568382664534,0.13444007739611089,0.23148113498666767,0.2941667228583014
-0.55,0.009990228101171202,0.04707791531070209,0.08495856288639657,0.14377134369767766,0.25094495285977064,0.3202066308775153
-0.5,0.009996222591586104,0.04802251549709641,0.0882670379269674,0.1518764642621211,0.268511785678855,0.3439225182592584
-0.44999999999999996,0.009998575647871107,0.04868208748851151,0.09091668427499282,0.1588655839054627,0.28423516561505835,0.3653300086504568
-0.3999999999999999,0.00999947495465963,0.04913493103345309,0.09301778458527275,0.1648398524997317,0.2981645763525609,0.3844435444017567
-0.35,0.009999810428729486,0.049440629605809715,0.09466577712552152,0.16989092227127503,0.3103451481763927,0.40127629752563376
-0.29999999999999993,0.009999932843079658,0.04964349797230409,0.09594192865249,0.17410052245011778,0.32081737992716813,0.41584008848655923
-0.25,0.009999976621384129,0.049775746850393904,0.09691415643673365,0.17754010616711713,0.32961688952604806,0.42814531332391026
-0.19999999999999996,0.00999999199087481,0.0498602368472427,0.09763792328967705,0.18027056344847422,0.336774194596214,0.43820087955693293
-0.1499999999999999,0.009999997294344237,0.04991276144978756,0.09815713280239627,0.18234199360732908,0.34231452452135963,0.44601415126692884
-0.09999999999999998,0.009999999090667016,0.04994384937489307,0.09850495870274809,0.18379353028951606,0.3462576650883291,0.4515909036952477
-0.04999999999999993,0.009999999673594316,0.04996010833793749,0.09870455150733995,0.18465321287641934,0.34861783666122276,0.4549352876370073
0.0,0.009999999808048228,0.049965146567952694,0.09876957676172667,0.18493789883633183,0.3494036066292205,0.4560498038500634
0.050000000000000044,0.009999999673594318,0.04996010833793749,0.09870455150733992,0.1846532128764193,0.3486178366612226,0.4549352876370071
0.10000000000000009,0.00999999909066702,0.049943849374893066,0.09850495870274806,0.18379353028951598,0.34625766508832884,0.4515909036952472
0.15000000000000013,0.009999997294344238,0.04991276144978753,0.0981571328023962,0.1823419936073289,0.34231452452135913,0.44601415126692806
0.20000000000000018,0.00999999199087481,0.04986023684724265,0.09763792328967696,0.18027056344847395,0.3367741945962134,0.43820087955693193
0.25,0.009999976621384129,0.049775746850393855,0.09691415643673354,0.1775401061671168,0.32961688952604734,0.428145313323909
0.30000000000000004,0.00999993284307966,0.04964349797230403,0.09594192865248984,0.17410052245011737,0.3208173799271672,0.41584008848655785
0.3500000000000001,0.009999810428729486,0.04944062960580966,0.09466577712552135,0.16989092227127456,0.3103451481763915,0.4012762975256321
0.40000000000000013,0.009999474954659629,0.04913493103345302,0.09301778458527254,0.16483985249973118,0.29816457635255955,0.384443544401755
0.4500000000000002,0.009998575647871105,0.04868208748851144,0.09091668427499261,0.1588655839054621,0.2842351656150571,0.365330008650455
0.5,0.0099962225915861,0.04802251549709634,0.08826703792696718,0.15187646426212048,0.2685117856788537,0.3439225182592567
0.55,0.009990228101171198,0.04707791531070202,0.08495856288639633,0.14377134369767705,0.2509449528597693,0.3202066308775136
0.6000000000000001,0.009975401771263917,0.04574774694684115,0.08086568382664511,0.1344400773961103,0.2314811349866664,0.2941667228582999
0.6500000000000001,0.009939915053760637,0.04390591559465988,0.07584737918134837,0.12376410924708475,0.21006308131014173,0.2657860855833865
0.7000000000000002,0.009858023461611801,0.04139801717423557,0.06974738221318698,0.11161713813986904,0.18663017538117915,0.23504702847742712
0.75,0.009676585502968375,0.03803952873715919,0.062394781649465686,0.09786586639079409,0.16111880872919088,0.20193098807623713
0.8,0.00929244928039503,0.033615315392883545,0.053605047589613396,0.08237082738715969,0.13346277303794804,0.1664186424767234
0.8500000000000001,0.008519293417601007,0.027880755135738785,0.04318148593736453,0.06498728704449919,0.10359366840103265,0.1284900304628431
0.9000000000000001,0.007047944889790146,0.020564654333945616,0.030917100353428224,0.04556621123479789,0.07144132513651096,0.08812467457314034
0.9500000000000002,0.004414388671826615,0.011373950690049222,0.016596816395705493,0.0239552890763903,0.03693423655431481,0.045301707351108104
1.0,0.0,0.0,0.0,0.0,0.0,0.0
