y_exact,u_exact,y_r=0.10,u_r=0.10,y_r=0.25,u_r=0.25,y_r=0.40,u_r=0.40,y_r=0.50,u_r=0.50,y_r=0.60,u_r=0.60
-1.0,-2.507212903691845e-17,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
-0.9933110367892977,0.0023644964666995334,-0.95,0.016624608871148104,-0.95,0.016632951967129026,-0.95,0.016641297539869558,-0.95,0.016646689797376567,-0.95,1753.7496864334644
-0.9866220735785953,0.004684784577270167,-0.9,0.030971654104912226,-0.9,0.03098803328085634,-0.9,0.03100441847160746,-0.9,0.031015684669963038,-0.9,-3418.0347179114797
-0.979933110367893,0.006961398084786774,-0.85,0.043260805094856074,-0.85,0.04328462578479662,-0.85,0.04330845792972729,-0.85,0.043323858597879183,-0.85,4911.14147891022
-0.9732441471571907,0.009194870503142862,-0.8,0.053706298944710004,-0.8,0.05373671633648995,-0.8,0.053767152964675616,-0.8,0.05378808556124477,-0.8,-6165.011077404066
-0.9665551839464883,0.011385734987658288,-0.75,0.06251447199136852,-0.75,0.06255044309007686,-0.75,0.06258644347512637,-0.75,0.0626097134106924,-0.75,7131.4387013071355
-0.959866220735786,0.013534524215925388,-0.7,0.06988157100300155,-0.7,0.06992191725945686,-0.7,0.06996230451684518,-0.7,0.06999008999685467,-0.7,-7783.476424956573
-0.9531772575250836,0.015641770268971303,-0.6499999999999999,0.07599190963107598,-0.6499999999999999,0.07603538526634888,-0.6499999999999999,0.0760789142217072,-0.6499999999999999,0.07610705930987888,-0.6499999999999999,8117.900965004835
-0.9464882943143813,0.017708004512816313,-0.6,0.08101641494778118,-0.6,0.08106177592329002,-0.6,0.08110720178277292,-0.6,0.08113846533991234,-0.6,-8151.521282078964
-0.939799331103679,0.019733757480505074,-0.55,0.08511158627497821,-0.55,0.08515765515684233,-0.55,0.08520379828355476,-0.55,0.08523364212467392,-0.55,7920.093018701733
-0.9331103678929766,0.021719558754689575,-0.5,0.08841886568291743,-0.5,0.08846458835865494,-0.5,0.0885103911335256,-0.5,0.08854192370188255,-0.5,-7471.1425429003775
-0.9264214046822743,0.023665936850838912,-0.44999999999999996,0.09106439808117424,-0.44999999999999996,0.09110888929127535,-0.44999999999999996,0.091153462003665,-0.44999999999999996,0.0911822942113153,-0.44999999999999996,6861.383392040274
-0.919732441471572,0.02557341910115469,-0.3999999999999999,0.09315914007794598,-0.3999999999999999,0.09320171588320914,-0.3999999999999999,0.09324436972106565,-0.3999999999999999,0.09327373779274928,-0.3999999999999999,-6148.78073879196
-0.9130434782608696,0.027442531539264504,-0.35,0.09479926174969502,-0.35,0.09483945822186969,-0.35,0.09487972457300495,-0.35,0.0949057679163719,-0.35,5390.927292714712
-0.9063545150501673,0.02927379878577016,-0.29999999999999993,0.0960667747585713,-0.29999999999999993,0.09610435322721429,-0.29999999999999993,0.0961419895360959,-0.29999999999999993,0.09616789805237067,-0.29999999999999993,-4638.62743053194
-0.8996655518394648,0.03106774393472334,-0.25,0.09703031411040183,-0.25,0.09706525412586242,-0.25,0.09710023737832314,-0.25,0.09712285314924501,-0.25,3936.688824414478
-0.8929765886287625,0.032824888441100875,-0.19999999999999996,0.09774599914546411,-0.19999999999999996,0.09777848087241679,-0.19999999999999996,0.09781099034878385,-0.19999999999999996,0.09783335815549457,-0.19999999999999996,-3319.84676390292
-0.8862876254180602,0.03454575200935202,-0.1499999999999999,0.09825830170893676,-0.1499999999999999,0.09828867973880669,-0.1499999999999999,0.0983190709733724,-0.1499999999999999,0.09833870402112214,-0.1499999999999999,2815.888621875842
-0.8795986622073578,0.03623085248308638,-0.09999999999999998,0.09860085528682935,-0.09999999999999998,0.09862962588491303,-0.09999999999999998,0.09865839782670066,-0.09999999999999998,0.09867818169613066,-0.09999999999999998,-2443.267282793168
-0.8729096989966555,0.037880705735972804,-0.04999999999999993,0.09879714755639712,-0.04999999999999993,0.09882491120691779,-0.04999999999999993,0.09885266845554022,-0.04999999999999993,0.09887058938090487,-0.04999999999999993,2215.3539851950222
-0.8662207357859532,0.03949582556391552,0.0,0.09886104962033528,0.0,0.0988884704849958,0.0,0.09891588225688283,0.0,0.09893472527582962,0.0,-2138.3703074786717
-0.8595317725752508,0.04107672357857386,0.050000000000000044,0.09879714755639712,0.050000000000000044,0.09882491120691779,0.050000000000000044,0.09885266845554022,0.050000000000000044,0.09887058938090487,0.050000000000000044,2215.3539851950204
