Label,dt,dy,r,E_inf,E_rms
r=0.10,0.000250,0.0500,0.1000,2.043e-05,1.545e-05
r=0.25,0.000625,0.0500,0.2500,2.564e-05,1.941e-05
r=0.40,0.001000,0.0500,0.4000,7.178e-05,5.431e-05
r=0.50,0.001250,0.0500,0.5000,1.028e-04,7.760e-05
r=0.60,0.001500,0.0500,0.6000,8.152e+03,5.510e+03
