Label,dt,dy,r,E_inf,E_rms
"Δt=0.0005, r=0.20",0.000500,0.0500,0.2000,1.123e-04,8.503e-05
"Δt=0.001,  r=0.40",0.001000,0.0500,0.4000,1.735e-04,1.313e-04
"Δt=0.005,  r=2.0",0.005000,0.0500,2.0000,6.575e-04,4.990e-04
"Δt=0.025,  r=10.0",0.025000,0.0500,10.0000,2.947e-03,2.266e-03
"Δt=0.125,  r=50.0",0.125000,0.0500,50.0000,1.327e-02,1.107e-02
