Label,dt,dy,r,E_inf,E_rms
"N=10, Δy=0.2",0.016000,0.2000,0.4000,8.031e-04,5.781e-04
"N=20, Δy=0.1",0.004000,0.1000,0.4000,2.024e-04,1.524e-04
"N=40, Δy=0.05",0.001000,0.0500,0.4000,5.110e-05,3.866e-05
"N=80, Δy=0.025",0.000250,0.0250,0.4000,1.278e-05,9.732e-06
