t,Q_num,Q_exact,Q_error,tau_num,tau_exact,tau_error
0.0,0.0,1.7109754533829183e-09,1.7109754533829183e-09,0.0,0.0010132097255838083,0.0010132097255838083
0.0010000000000000002,0.001932133333333334,0.0019524233569023495,2.029002356901551e-05,0.023760000000000003,0.03568248232305536,0.011922482323055358
0.0020000000000000005,0.0038352058311111126,0.0038654329321587614,3.022710104764884e-05,0.04023315911111113,0.050462650440403226,0.010229491329292094
0.003000000000000001,0.0057151955109736325,0.005752784510704942,3.758899973130975e-05,0.05296104978204445,0.061803872323710395,0.008842822541665941
0.004000000000000001,0.007575674976314864,0.0076193868552205555,4.371187890569138e-05,0.06351621999019806,0.07136496464611092,0.007848744655912857
0.005000000000000001,0.009419003760158515,0.009468076959464503,4.907319930598855e-05,0.07267252953695641,0.07978845608028645,0.007115926543330042
0.006000000000000001,0.011246865602606975,0.01130076900442088,5.390340181390604e-05,0.08085121468094086,0.08740387444736628,0.006552659766425412
0.007000000000000001,0.013060533203871651,0.013118868239042623,5.8335035170971675e-05,0.0883032329217513,0.09440697438826291,0.006103741466511617
0.008000000000000002,0.014861010427368756,0.014923463457271207,6.245302990245082e-05,0.09518980888653217,0.10092530088080634,0.005735491994274172
0.009000000000000003,0.016649114825795022,0.016715430636369807,6.63158105747852e-05,0.10162098216888754,0.10704744696916631,0.005426464800278766
0.010000000000000004,0.018425528803518172,0.018495494443872502,6.996564035433028e-05,0.10767554076827765,0.11283791670955118,0.005162375941273528
0.011000000000000005,0.020190833117637898,0.020264267386673532,7.343426903563474e-05,0.11341208182990399,0.11834540545406387,0.00493332362415988
0.012000000000000005,0.02194552981924452,0.022022276085641043,7.674626639652196e-05,0.11887553820916795,0.12360774464742061,0.004732206438252659
0.013000000000000006,0.02369005855161128,0.023769979659371835,7.992110776055411e-05,0.12410123610886577,0.12865501965161366,0.004553783542747894
0.014000000000000007,0.02542480848689482,0.025507783026833323,8.297453993850318e-05,0.12911753106525473,0.13351162356249088,0.004394092497236157
0.015000000000000008,0.027150127294539514,0.02723604680422914,8.591950968962758e-05,0.13394758487065514,0.13819765978853418,0.004250074917879043
0.016000000000000007,0.02886632802713169,0.02895509484176568,8.876681463398928e-05,0.1386106015040364,0.14272992929222164,0.004119327788185245
0.017000000000000008,0.030573694506632727,0.03066522007835016,9.152557171743236e-05,0.14312271010673028,0.1471226436021926,0.003999933495462321
0.01800000000000001,0.032272485606222645,0.032366689168290795,9.420356206815e-05,0.14749761055772864,0.15138795132120958,0.0038903407634809373
0.01900000000000001,0.03396293870274052,0.03405974619264431,9.680748990379545e-05,0.15174705509088834,0.15553633450087515,0.003789279409986801
0.02000000000000001,0.035645272495422695,0.035744615675717954,9.934318029525963e-05,0.1558812140232962,0.15957691216057315,0.003695698137276965
0.02100000000000001,0.03731968933302084,0.03742150506557866,0.00010181573255781812,0.1599089578800345,0.16351767622932512,0.003608718349290607
0.022000000000000013,0.038986377154298854,0.03909060679516127,0.00010422964086241604,0.16383807810078482,0.16736567743768016,0.0035275993368953373
0.023000000000000013,0.04064551112074331,0.040752100010981056,0.00010658889023774237,0.16767546188717733,0.17112717355495807,0.0034517116677807436
0.024000000000000014,0.042297255001528464,0.042406152035368405,0.00010889703383994143,0.17142723230371304,0.17480774889473255,0.003380516591019511
0.025000000000000015,0.04394176235705756,0.044052919612823975,0.00011115725576641561,0.1750988617013863,0.1784124116152771,0.0033135499138907953
0.026000000000000016,0.04557917755723961,0.045692549979831944,0.0001133724225923366,0.17869526441126646,0.18194567365868922,0.0032504092474227586
0.027000000000000017,0.047209636663031976,0.04732518178903914,0.00011554512600716466,0.18222087315145524,0.185411616971131,0.0031907438196757676
0.028000000000000018,0.04883326819398201,0.04895094591234288,0.00011767771836086738,0.18567970250884128,0.18881394877652596,0.003134246267684687
0.02900000000000002,0.05045019380004627,0.05056996614255688,0.00011977234251060731,0.18907540206777948,0.19215604803731715,0.0030806459695376653
0.03000000000000002,0.052060528852507365,0.05218235980955318,0.00012183095704581398,0.19241130117470104,0.19544100476116807,0.0030297035864670363
0.03100000000000002,0.053664382966097365,0.05378823832383422,0.00012385535773685313,0.19569044689178186,0.19867165345562016,0.0029812065638382956
0.03200000000000002,0.05526186046229306,0.05538770765817101,0.00012584719587795112,0.19891563636343848,0.20185060176161268,0.0029349653981741997
0.03300000000000002,0.056853060782039014,0.056980868776093645,0.0001278079940546309,0.20208944456802908,0.2049802550887772,0.0028908105207481327
0.03400000000000002,0.05843807885478118,0.05856781801454683,0.00012973915976564887,0.20521424823346007,0.20806283791440278,0.0028485896809427036
0.035000000000000024,0.06001700542958269,0.06014864742682874,0.0001316419972460514,0.20829224654486675,0.21110041228223492,0.002808165737368168
0.036000000000000025,0.0615899273731877,0.061723445090959825,0.00013351771777212612,0.2113254791545905,0.21409489393832615,0.0027694147837356575
