t,Q_num,Q_exact,Q_error,tau_num,tau_exact,tau_error
0.0,0.0,1.7109754533829183e-09,1.7109754533829183e-09,0.0,0.0010132097255838083,0.0010132097255838083
0.0010000000000000002,0.0019500000000000006,0.0019524233569023495,2.423356902348916e-06,0.03000000000000001,0.03568248232305536,0.005682482323055352
0.0020000000000000005,0.0038600000000000015,0.0038654329321587614,5.432932158759996e-06,0.04400000000000001,0.050462650440403226,0.006462650440403214
0.003000000000000001,0.005746000000000003,0.005752784510704942,6.784510704939406e-06,0.056400000000000006,0.061803872323710395,0.005403872323710389
0.004000000000000001,0.007611200000000002,0.0076193868552205555,8.186855220553534e-06,0.06624000000000001,0.07136496464611092,0.0051249646461109105
0.005000000000000001,0.009458800000000002,0.009468076959464503,9.276959464501675e-06,0.07512000000000002,0.07978845608028645,0.004668456080286432
0.006000000000000001,0.011290464000000004,0.01130076900442088,1.0305004420877242e-05,0.08300160000000001,0.08740387444736628,0.004402274447366267
0.007000000000000001,0.013107651200000004,0.013118868239042623,1.1217039042618962e-05,0.09027648000000002,0.09440697438826291,0.0041304943882628925
0.008000000000000002,0.014911390720000004,0.014923463457271207,1.2072737271202547e-05,0.09700044800000002,0.10092530088080634,0.003924852880806323
0.009000000000000003,0.016702564224000006,0.016715430636369807,1.2866412369801766e-05,0.1033120512,0.10704744696916631,0.0037353957691663026
0.010000000000000004,0.01848187724800001,0.018495494443872502,1.3617195872492327e-05,0.10926136319999999,0.11283791670955118,0.003576553509551189
0.011000000000000005,0.02024993997312001,0.020264267386673532,1.4327413553522766e-05,0.11491225292800003,0.11834540545406387,0.00343315252606384
0.012000000000000005,0.02200727105945601,0.022022276085641043,1.50050261850318e-05,0.12030050058240001,0.12360774464742061,0.003307244065020601
0.013000000000000006,0.023754326619545615,0.023769979659371835,1.56530398262196e-05,0.12546172514304005,0.12865501965161366,0.003193294508573613
0.014000000000000007,0.02549150742863874,0.025507783026833323,1.6275598194583768e-05,0.13042083962880002,0.13351162356249088,0.0030907839336908605
0.015000000000000008,0.02721917164523522,0.02723604680422914,1.6875158993921724e-05,0.13520040431616004,0.13819765978853418,0.002997255472374144
0.016000000000000007,0.028937640578514966,0.02895509484176568,1.7454263250712976e-05,0.13981808378511362,0.14272992929222164,0.0029118455071080185
0.017000000000000008,0.03064720530532436,0.03066522007835016,1.8014773025799846e-05,0.14428939883347972,0.1471226436021926,0.0028332447687128837
0.01800000000000001,0.032348130747637455,0.032366689168290795,1.8558420653340402e-05,0.14862724186492113,0.15138795132120958,0.0027607094562884515
0.01900000000000001,0.034040659581934585,0.03405974619264431,1.9086610709727336e-05,0.15284289722092093,0.15553633450087515,0.0026934372799542194
0.02000000000000001,0.0357250150706533,0.035744615675717954,1.960060506465272e-05,0.1569460546935718,0.15957691216057315,0.0026308574670013407
0.02100000000000001,0.03740140358590047,0.03742150506557866,2.0101479678194534e-05,0.16094524580820266,0.16351767622932512,0.002572430421122457
0.022000000000000013,0.03907001660085509,0.03909060679516127,2.059019430618314e-05,0.16484794931763724,0.16736567743768016,0.002517728120042917
0.023000000000000013,0.0407310324210665,0.040752100010981056,2.106758991455432e-05,0.16866080808903466,0.17112717355495807,0.002466365465923409
0.024000000000000014,0.042384617616355286,0.042406152035368405,2.1534419013119477e-05,0.17238972895566365,0.17480774889473255,0.0024180199390688994
0.025000000000000015,0.044030928260817545,0.044052919612823975,2.1991352006429932e-05,0.17604000587246252,0.1784124116152771,0.0023724057428145817
0.026000000000000016,0.04567011098717867,0.045692549979831944,2.2438992653271705e-05,0.17961639717685982,0.18194567365868922,0.002329276481829401
0.027000000000000017,0.04730230390402465,0.04732518178903914,2.2877885014489785e-05,0.18312320288947645,0.185411616971131,0.0022884140816545606
0.028000000000000018,0.04892763738983037,0.04895094591234288,2.3308522512505148e-05,0.18656432150553118,0.18881394877652596,0.002249627270994786
0.02900000000000002,0.05054623478890383,0.05056996614255688,2.3731353653050347e-05,0.18994330197064063,0.19215604803731715,0.002212746066676513
0.03000000000000002,0.05215821302164489,0.05218235980955318,2.414678790828989e-05,0.1932633851146661,0.19544100476116807,0.0021776196465019826
0.03100000000000002,0.053763683123731844,0.05378823832383422,2.4555200102374664e-05,0.1965275402621579,0.19867165345562016,0.0021441131934622493
0.03200000000000002,0.05536275072367182,0.05538770765817101,2.4956934499192895e-05,0.19973849571395294,0.20185060176161268,0.0021121060476597397
0.03300000000000002,0.05695551646798322,0.056980868776093645,2.535230811042538e-05,0.20289876539070387,0.2049802550887772,0.002081489698073341
0.03400000000000002,0.05854207640088606,0.05856781801454683,2.5741613660770768e-05,0.20601067157046934,0.20806283791440278,0.0020521663439334314
0.035000000000000024,0.06012252230473632,0.06014864742682874,2.612512209242135e-05,0.2090763647593509,0.21110041228223492,0.002024047522884015
0.036000000000000025,0.061696942006179506,0.061723445090959825,2.650308478031882e-05,0.21209784091304532,0.21409489393832615,0.0019970530252808316
0.037000000000000026,0.06326541965239221,0.06329229538783955,2.6875735447337568e-05,0.21507695654894196,0.2170480664626961,0.0019711099137541266
0.03800000000000003,0.06482803596103598,0.06485527925289122,2.7243291855244545e-05,0.21801544198566705,0.21996159369290647,0.001946151707239413
0.03900000000000003,0.06638486844707306,0.06641247440436092,2.7605957287860083e-05,0.22091491302619504,0.22283703068530722,0.0019221176591121825
0.04000000000000003,0.06793599162911684,0.06796395555098138,2.7963921864535002e-05,0.22377688127880943,0.2256758334189841,0.001898952140174659
0.04100000000000003,0.06948147721763757,0.06950979458133981,2.831736370223492e-05,0.22660276331848306,0.22847936741429944,0.0018766040958163865
0.04200000000000003,0.07102139428702098,0.07105006073697147,2.866644995049017e-05,0.22939388883602715,0.2312489154108261,0.0018550265747989403
0.04300000000000003,0.07255580943322071,0.07258482077093432,2.9011337713616414e-05,0.23215150791286096,0.2339856842271761,0.0018341763143151502
0.04400000000000003,0.07408478691851786,0.0741141390933942,2.9352174876345893e-05,0.2348767975306568,0.236690810906808,0.0018140133761511967
0.04500000000000003,0.07560838880471328,0.07563807790555623,2.9689100842944516e-05,0.23757086741342212,0.23936536823860013,0.0017945008251780137
0.046000000000000034,0.07712667507591409,0.077156697323118,3.0022247203914665e-05,0.24023476528286875,0.24201036972821574,0.0017756044453469955
0.047000000000000035,0.07863970375193705,0.07867005549027169,3.035173833464133e-05,0.24286948159797464,0.24462677408559136,0.0017572924876167184
0.048000000000000036,0.08014753099323094,0.08017820868516952,3.067769193858261e-05,0.24547595383894588,0.24721548928489812,0.0017395354459522339
0.04900000000000004,0.08165021119811672,0.08168121141765401,3.100021953729437e-05,0.24805507038812263,0.2497773762457187,0.001722305857596057
0.05000000000000004,0.08314779709305342,0.08317911651996952,3.131942691610157e-05,0.2506076740530926,0.25231325217775474,0.0017055781246621549
0.05100000000000004,0.08464033981656048,0.08467197523109093,3.163541453045371e-05,0.25313456527154676,0.25482389362589974,0.0016893283543529813
0.05200000000000004,0.08612788899735813,0.08615983727523184,3.1948277873714015e-05,0.2556365050322657,0.2573100392478388,0.0016735342155730915
0.05300000000000004,0.08761049282722838,0.08764275093504452,3.225810781613825e-05,0.2581142175423676,0.2597723923523337,0.0016581748099661064
0.05400000000000004,0.08908819812904645,0.08912076311995902,3.256499091257303e-05,0.2605683926672179,0.2622116232229133,0.0016432305556954296
0.05500000000000004,0.09056105042038676,0.09059391943007339,3.286900968663131e-05,0.2629996881662244,0.2646283712487239,0.0016286830824995269
0.05600000000000004,0.09202909397306686,0.09206226421595672,3.3170242889860035e-05,0.26540873174498797,0.2670232468817368,0.0016145151367488175
0.057000000000000044,0.09349237186895701,0.09352584063469885,3.346876574183977e-05,0.267796122941893,0.26939683343728626,0.0016007104953932871
0.058000000000000045,0.09495092605235125,0.09498469070250229,3.37646501510358e-05,0.27016243486515923,0.27174968875298894,0.0015872538878297093
0.059000000000000045,0.0964047973791679,0.09643885534408594,3.4057964918038364e-05,0.27250821579456913,0.27408234671940707,0.0015741309248379354
0.060000000000000046,0.09785402566322213,0.09788837443914758,3.434877592545238e-05,0.2748339906605186,0.2763953186943617,0.001561328033843068
0.06100000000000005,0.09929864971979108,0.09933328686610265,3.463714631157799e-05,0.2771402624116641,0.27868909481150667,0.001548832399842548
0.06200000000000005,0.10073870740667198,0.10077363054330606,3.492313663407132e-05,0.279427513281231,0.2809641451926558,0.0015366319114247795
0.06300000000000004,0.10217423566291628,0.10220944246793665,3.520680502036577e-05,0.2816962059609949,0.28322092107235824,0.0015247151113633173
0.06400000000000004,0.10360527054540598,0.10364075875271495,3.548820730896185e-05,0.2839467846910093,0.285459855842349,0.0015130711513396955
0.06500000000000004,0.10503184726342504,0.10506761466060564,3.576739718059996e-05,0.2861796762723363,0.2876813660227251,0.0015016897503887794
0.06600000000000004,0.10645400021136497,0.1064900446376461,3.604442628112048e-05,0.28839529100930394,0.2898858521660191,0.0014905611567151422
0.06700000000000005,0.10787176299969255,0.10790808234402942,3.631934433687145e-05,0.29059402358717434,0.29207369969973596,0.001479676112561612
0.06800000000000005,0.10928516848429709,0.10932176068355907,3.659219926198387e-05,0.2927762538905313,0.29424527971237746,0.0014690258218461594
0.06900000000000005,0.11069424879432475,0.11073111183158461,3.6863037259859954e-05,0.2949423477671899,0.2964009496875062,0.0014586019203162714
0.07000000000000005,0.11209903535859939,0.11213616726151804,3.7131902918652315e-05,0.29709265774197496,0.29854105418997146,0.0014483964479964917
0.07100000000000005,0.11349955893072125,0.11353695777002165,3.7398839300401e-05,0.29922752368431293,0.3006659255080358,0.0014384018237228458
0.07200000000000005,0.11489584961292773,0.11493351350095342,3.7663888025687986e-05,0.30134727343321993,0.30277588425480517,0.0014286108215852411
0.07300000000000005,0.1162879368787943,0.11632586396814702,3.7927089352726706e-05,0.3034522233829449,0.3048712399320581,0.0014190165491131945
0.07400000000000005,0.11767584959484728,0.11771403807710112,3.8188482253842526e-05,0.3055426790322341,0.3069522914592931,0.0014096124270590038
0.07500000000000005,0.11905961604115536,0.11909806414564024,3.844810448487557e-05,0.3076189354999291,0.3090193276705705,0.001400392170641418
0.07600000000000005,0.1204392639309615,0.12047796992361513,3.870599265363983e-05,0.3096812780093669,0.3110726277815027,0.001391349772135786
0.07700000000000005,0.12181482042941238,0.12185378261169538,3.896218228299775e-05,0.31172998234384713,0.31311246182854235,0.0013824794846952204
0.07800000000000006,0.123186312171439,0.12322552887931026,3.9216707871270184e-05,0.313765315275238,0.315139091082546,0.0013737758073080197
