y_exact,u_exact,y_Δt=0.0005;r=0.20,u_Δt=0.0005;r=0.20,y_Δt=0.001;r=0.40,u_Δt=0.001;r=0.40,y_Δt=0.005;r=2.0,u_Δt=0.005;r=2.0,y_Δt=0.025;r=10.0,u_Δt=0.025;r=10.0,y_Δt=0.125;r=50.0,u_Δt=0.125;r=50.0
-1.0,-2.507212903691845e-17,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
-0.9933110367892977,0.0023644964666995334,-0.95,0.016607930092547248,-0.95,0.016596816395705524,-0.95,0.016508066916420656,-0.95,0.016069397166136017,-0.95,0.016347838069014988
-0.9866220735785953,0.004684784577270167,-0.9,0.030938913809987652,-0.9,0.030917100353428286,-0.9,0.0307429860175234,-0.9,0.029884877286986737,-0.9,0.030522632899410276
-0.979933110367893,0.006961398084786774,-0.85,0.043213198199299335,-0.85,0.04318148593736462,-0.85,0.04292854453952759,-0.85,0.04168762424231801,-0.85,0.042807880387793776
-0.9732441471571907,0.009194870503142862,-0.8,0.05364552217856368,-0.8,0.053605047589613514,-0.8,0.05328252911090813,-0.8,0.05170948709688231,-0.8,0.05344928548393314
-0.9665551839464883,0.011385734987658288,-0.75,0.06244261820725987,-0.75,0.06239478164946584,-0.75,0.06201403874877898,-0.75,0.06016932770067584,-0.75,0.06265967628975116
-0.959866220735786,0.013534524215925388,-0.7,0.06980100230172767,-0.7,0.06974738221318717,-0.7,0.06932114713249267,-0.7,0.06727030563959314,-0.7,0.0706232606213642
-0.9531772575250836,0.015641770268971303,-0.6499999999999999,0.07590511933240296,-0.6499999999999999,0.07584737918134858,-0.6499999999999999,0.0753889892399015,-0.6499999999999999,0.07319811642077242,-0.6499999999999999,0.07749931016540453
-0.9464882943143813,0.017708004512816313,-0.6,0.08092588875560223,-0.6,0.08086568382664537,-0.6,0.08038831776085748,-0.6,0.07812010316893388,-0.6,0.08342534591275295
-0.939799331103679,0.019733757480505074,-0.55,0.08501967230425889,-0.55,0.08495856288639662,-0.55,0.08447454379803586,-0.55,0.08218510697570706,-0.55,0.08851988857835644
-0.9331103678929766,0.021719558754689575,-0.5,0.08832766148788551,-0.5,0.08826703792696748,-0.5,0.08778724698767103,-0.5,0.08552389794888837,-0.5,0.09288482901552705
-0.9264214046822743,0.023665936850838912,-0.44999999999999996,0.09097566070011417,-0.44999999999999996,0.09091668427499287,-0.44999999999999996,0.09045011461766735,-0.44999999999999996,0.08825002830275362,-0.44999999999999996,0.09660746603300821
-0.919732441471572,0.02557341910115469,-0.3999999999999999,0.09307422269145861,-0.3999999999999999,0.09301778458527281,-0.3999999999999999,0.09257124919999826,-0.3999999999999999,0.09046096196391999,-0.3999999999999999,0.09976225237114957
-0.9130434782608696,0.027442531539264504,-0.35,0.09471907814331816,-0.35,0.09466577712552163,-0.35,0.09424377010681621,-0.35,0.0922393554850508,-0.35,0.10241228375671389
-0.9063545150501673,0.02927379878577016,-0.29999999999999993,0.09599179065599366,-0.29999999999999993,0.09594192865249013,-0.29999999999999993,0.09554662740147243,-0.29999999999999993,0.09365438784682077,-0.29999999999999993,0.10461056081741252
-0.8996655518394648,0.03106774393472334,-0.25,0.09696056279674087,-0.25,0.0969141564367338,-0.25,0.0965455443685852,-0.25,0.09476305893670023,-0.25,0.10640104909445938
-0.8929765886287625,0.032824888441100875,-0.19999999999999996,0.0976811177354212,-0.19999999999999996,0.09763792328967723,-0.19999999999999996,0.09729400852646225,-0.19999999999999996,0.09561139636140692,-0.19999999999999996,0.10781955835339543
-0.8862876254180602,0.03454575200935202,-0.1499999999999999,0.09819758393912831,-0.1499999999999999,0.09815713280239642,-0.1499999999999999,0.09783423792658348,-0.1499999999999999,0.09623552694874708,-0.1499999999999999,0.10889445877939938
-0.8795986622073578,0.03623085248308638,-0.09999999999999998,0.09854331674507745,-0.09999999999999998,0.09850495870274827,-0.09999999999999998,0.09819805911928482,-0.09999999999999998,0.09666258262329669,-0.09999999999999998,0.10964724838099131
