Label,dt,dy,r,E_inf,E_rms
r=0.25,0.000625,0.0500,0.2500,5.110e-05,3.866e-05
r=0.50,0.001250,0.0500,0.5000,5.110e-05,3.866e-05
r=0.65,0.001625,0.0500,0.6500,5.113e-05,3.880e-05
r=0.70,0.001750,0.0500,0.7000,5.344e-05,3.868e-05
r=0.80,0.002000,0.0500,0.8000,9.441e+06,7.740e+06
