t,Q_num,Q_exact,Q_error,tau_num,tau_exact,tau_error
0.0,0.0,1.7109754533829183e-09,1.7109754533829183e-09,0.0,0.0010132097255838083,0.0010132097255838083
0.0010000000000000002,0.0019193774225170152,0.0019524233569023495,3.304593438533429e-05,0.021172177814626814,0.03568248232305536,0.014510304508428547
0.0020000000000000005,0.003813947898116188,0.0038654329321587614,5.148503404257343e-05,0.03721042037676254,0.050462650440403226,0.013252230063640687
0.003000000000000001,0.005687527880169496,0.005752784510704942,6.525663053544642e-05,0.05009095050718034,0.061803872323710395,0.011712921816530053
0.004000000000000001,0.007542759528703688,0.0076193868552205555,7.662732651686748e-05,0.06091646728345742,0.07136496464611092,0.010448497362653499
0.005000000000000001,0.009381562361686921,0.009468076959464503,8.651459777758198e-05,0.07033057378903344,0.07978845608028645,0.009457882291253009
0.006000000000000001,0.011205390348838058,0.01130076900442088,9.537865558282253e-05,0.07872672777937152,0.08740387444736628,0.008677146667994753
0.007000000000000001,0.013015384243717426,0.013118868239042623,0.00010348399532519696,0.08635674489046088,0.09440697438826291,0.008050229497802028
0.008000000000000002,0.014812465532128272,0.014923463457271207,0.00011099792514293431,0.09338897675175029,0.10092530088080634,0.0075363241290560545
0.009000000000000003,0.0165973966659934,0.016715430636369807,0.00011803397037640773,0.09994058647636184,0.10704744696916631,0.00710686049280447
0.010000000000000004,0.018370821119120334,0.018495494443872502,0.00012467332475216836,0.10609609797516316,0.11283791670955118,0.006741818734388019
0.011000000000000005,0.02013329093516488,0.020264267386673532,0.0001309764515086513,0.11191844380123342,0.11834540545406387,0.006426961652830451
0.012000000000000005,0.021885286257573473,0.022022276085641043,0.00013698982806756993,0.11745578027323361,0.12360774464742061,0.006151964374186997
0.013000000000000006,0.023627229555236277,0.023769979659371835,0.00014275010413555833,0.122745835702481,0.12865501965161366,0.00590918394913266
0.014000000000000007,0.02535949623577425,0.025507783026833323,0.00014828679105907336,0.12781877402799552,0.13351162356249088,0.0056928495344953645
