y_exact,u_exact_t0.0100,u_exact_t0.0500,u_exact_t0.1000,u_exact_t0.2000,u_exact_t0.5000,u_exact_t1.0000,u_steady
-1.0,-3.461236258958322e-17,-2.914611442516902e-17,-2.5072129036918447e-17,-1.9331508906897095e-17,-9.201621717698428e-18,-2.679615851725572e-18,0.0
-0.9933110367892977,0.0007326789446916258,0.0016654687976378987,0.0023644964666995343,0.0033495158482330784,0.0050876935953916656,0.0062067990745072465,0.006666592096285284
-0.9866220735785953,0.0014223032184765717,0.0032869504028728825,0.004684784577270169,0.006654661928274512,0.01013081927405429,0.01236890667949504,0.013288441963736408
-0.979933110367893,0.0020705566103526017,0.004865199514429338,0.006961398084786776,0.009915810653416353,0.01512955132884171,0.018486373568674518,0.019865549602353427
-0.9732441471571907,0.0026791153966914676,0.006400970156071038,0.009194870503142862,0.013133334342261117,0.02008406401410719,0.024559250484550075,0.026397915012136286
-0.9665551839464883,0.0032496446477277064,0.007895015340252283,0.011385734987658292,0.016307605171405514,0.024994531526458568,0.030587588152817796,0.03288553819308504
-0.959866220735786,0.003783794608627182,0.009348086733124827,0.013534524215925391,0.019438995128158748,0.029861127985519778,0.036571437276765414,0.03932841914519969
-0.9531772575250836,0.0042831971787009575,0.010760934321346213,0.015641770268971306,0.022527875963306014,0.03468402741470072,0.04251084853167485,0.04572655786848018
-0.9464882943143813,0.004749462511250908,0.012134306081133894,0.017708004512816313,0.025574619143929434,0.03946340372197814,0.04840587255922799,0.05207995436292656
-0.939799331103679,0.005184175755210197,0.01346894765000199,0.01973375748050508,0.028579595806296883,0.04419943068068884,0.05425655996191593,0.058388608628538785
-0.9331103678929766,0.005588893958204533,0.014765602001613878,0.021719558754689585,0.03154317670883099,0.048892281910338335,0.06006296129745276,0.0646525206653169
-0.9264214046822743,0.0059651431489225635,0.016025009124173994,0.02366593685083892,0.03446573218516807,0.05354213085742593,0.06582512707319405,0.07087169047326086
-0.919732441471572,0.0063144156147850105,0.01724790570277872,0.025573419101154703,0.03734763209732027,0.05814915077628967,0.07154310774056122,0.07704611805237072
-0.9130434782608696,0.006638167388851089,0.018435024806131912,0.02744253153926451,0.040189245788949696,0.06271351470997202,0.07721695368947179,0.08317580340264646
-0.9063545150501673,0.00693781595775126,0.019587095578026126,0.02927379878577017,0.04299094203876718,0.06723539547110914,0.08284671524277648,0.08926074652408805
-0.8996655518394648,0.007214738200196513,0.020704842933977265,0.031067743934723356,0.04575308901406614,0.07171496562284592,0.08843244265070403,0.09530094741669559
-0.8929765886287625,0.007470268563330811,0.0217889872633894,0.03282488844110089,0.04847605422440193,0.07615239745977798,0.0939741860853133,0.10129640608046891
-0.8862876254180602,0.007705697481893718,0.022840244137616053,0.03454575200935203,0.051160204475428586,0.08054786298892457,0.09947199563495503,0.10724712251540813
-0.8795986622073578,0.007922270042870347,0.023859324024268647,0.03623085248308639,0.05380590582290213,0.08490153391073206,0.10492592129874187,0.11315309672151319
-0.8729096989966555,0.00812118489606535,0.024846932008112662,0.037880705735972804,0.05641352352686235,0.08921358160011235,0.11033601298102895,0.11901432869878414
-0.8662207357859532,0.00830359340886191,0.025803767518874723,0.03949582556391553,0.05898342200600258,0.09348417708751681,0.11570232048590447,0.12483081844722099
-0.8595317725752508,0.008470599061354429,0.02673052406627109,0.04107672357857387,0.06151596479223794,0.09771349104004841,0.1210248935116914,0.13060256596682362
-0.8528428093645485,0.008623257076091266,0.02762788898255325,0.042623909102291406,0.06401151448548341,0.1019016937426148,0.1263037816454615,0.1363295712575922
-0.8461538461538461,0.008762574274847574,0.02849654317284654,0.04413788906449464,0.06647043270864927,0.1060489550791225,0.13153903435756048,0.14201183431952663
-0.8394648829431438,0.00888950915320404,0.029337160873546923,0.04561916789962544,0.06889308006286674,0.11015544451371669,0.13673070099614706,0.14764935515262695
-0.8327759197324415,0.009004972162224437,0.030150409419019586,0.04706824744666476,0.07127981608295117,0.11422133107206665,0.141878830781745,0.1532421337568931
-0.8260869565217391,0.009109826185238165,0.030936949016828908,0.048485626850306926,0.07363099919311436,0.11824678332270054,0.14698347280180948,0.15879017013232516
-0.8193979933110368,0.009204887196633083,0.031697432531709,0.04987180246383875,0.07594698666293331,0.12223196935838992,0.1520446760053077,0.16429346427892305
-0.8127090301003345,0.009290925088669905,0.032432505278470095,0.051227267753779726,0.07822813456358739,0.12617705677758784,0.1570624891973156,0.16975201619668684
-0.8060200668896321,0.009368664651625147,0.033142804824013376,0.05255251320633341,0.08047479772437041,0.13008221266592107,0.16203696103362952,0.17516582588561647
-0.7993311036789298,0.009438786692072923,0.03382896079861259,0.05384802623570152,0.0826873296894883,0.13394760357773958,0.16696814001539514,0.180534893345712
-0.7926421404682275,0.009501929273805883,0.03449159471660012,0.055114291094308,0.08486608267515042,0.13777339551772436,0.171856074483753,0.1858592185769734
-0.7859531772575251,0.009558689065775273,0.0351313198065773,0.05635178878497973,0.08701140752696329,0.14155975392255668,0.17670081261450166,0.19113880157940066
-0.7792642140468228,0.00960962278148369,0.03574874085125112,0.05756099697512718,0.08912365367763495,0.14530684364264962,0.18150240241277954,0.19637364235299376
-0.7725752508361204,0.009655248694485663,0.03634445403698001,0.058742389912968124,0.09120316910499916,0.14901482892394557,0.18626089170776547,0.2015637408977528
-0.7658862876254181,0.00969604821501728,0.036919046813092285,0.05989643834583115,0.09325030029036512,0.1526838733897791,0.19097632814739793,0.20670909721367764
-0.7591973244147157,0.00973246751328872,0.03747309776102561,0.06102360944057983,0.0952653921772036,0.15631414002281052,0.19564875919311578,0.21180971130076848
-0.7525083612040133,0.009764919175594463,0.038007176473313656,0.062124366706189725,0.09724878813017443,0.15990579114702888,0.2002782321146177,0.2168655831590251
-0.745819397993311,0.00979378388013006,0.0385218434424312,0.06319916991851232,0.09920082989450414,0.16345898840982903,0.2048647939846448,0.22187671278844762
-0.7391304347826086,0.00981941208022086,0.03901764995949105,0.06424847504725659,0.1011218575557209,0.16697389276416277,0.2094084916737832,0.22684310018903597
-0.7324414715719063,0.009842125683552489,0.03949513802276597,0.06527273418521513,0.10301220949975301,0.17045066445076773,0.21390937184529019,0.23176474536079017
-0.725752508361204,0.009862219716935497,0.03995484025599607,0.06627239547976187,0.10487222237339841,0.17388946298047425,0.21836748094994263,0.23664164830371026
-0.7190635451505016,0.009879963967110019,0.040397279836421614,0.06724790306664377,0.1067022310451712,0.17729044711659367,0.22278286522090887,0.24147380901779625
-0.7123745819397993,0.009895604589094465,0.040822970432467375,0.0681996970060884,0.10850256856653165,0.1806537748573891,0.22715557066864492,0.24626122750304807
-0.705685618729097,0.009909365674586132,0.041232416150988015,0.0691282132212451,0.11027356613350611,0.18397960341863095,0.231485643075815,0.2510039037594658
-0.6989966555183946,0.009921450773917128,0.041626111493968526,0.07003388343897711,0.11201555304870203,0.1872680892162392,0.23577312799223746,0.25570183778704936
-0.6923076923076923,0.009932044366048012,0.04200454132455935,0.07091713513301755,0.11372885668372446,0.19051938784901415,0.24001807072985615,0.2603550295857988
-0.68561872909699,0.009941313272027654,0.042368180842310935,0.07177839146950098,0.11541380244199793,0.19373365408145757,0.24422051635773803,0.26496347915571417
-0.6789297658862876,0.00994940800825862,0.04271749556745991,0.07261807125488005,0.11707071372200113,0.19691104182668606,0.24838050969709802,0.26952718649679536
-0.6722408026755853,0.009956464076767556,0.04305294133410499,0.07343658888623363,0.11869991188091708,0.2000517041294391,0.2524980953163507,0.27404615160904244
-0.6655518394648829,0.00996260319048715,0.043374964292098,0.07423435430397034,0.12030171619870444,0.2031557931491827,0.2565733175261901,0.27852037449245537
-0.6588628762541806,0.009967934432309759,0.0436840009174659,0.0750117729469309,0.1218764438425949,0.20622346014331144,0.2606062203746983,0.28294985514703413
-0.6521739130434783,0.009972555347352976,0.04398047803116454,0.07576924570988731,0.1234244098320194,0.20925485545045025,0.26459684764248237,0.2873345935727788
-0.6454849498327759,0.00997655296850741,0.0442648128259583,0.07650716890343687,0.12494592700396832,0.2122501284738574,0.26854524283784137,0.2916745897696894
-0.6387959866220736,0.009980004775887891,0.044537412901207725,0.07722593421628646,0.12644130597878855,0.21520942766493173,0.2724514491919627,0.2959698437377658
-0.6321070234113713,0.009982979591303329,0.04479867630533931,0.07792592867991993,0.12791085512642184,0.2181329005068249,0.2763155096541504,0.3002203554770081
-0.6254180602006689,0.009985538409283195,0.0450489915857612,0.07860753463563788,0.1293548805330861,0.2210206934981605,0.28013746688708313,0.3044261249874162
-0.6187290969899666,0.009987735166564178,0.04528873784598491,0.07927112970396,0.13077368596840436,0.22387295213686262,0.2839173632621046,0.30858715226899025
-0.6120401337792643,0.009989617452239127,0.04551828480970048,0.07991708675637459,0.13216757285298247,0.22668982090409467,0.28765524085454564,0.31270343732173017
-0.6053511705685619,0.009991227161015451,0.045737992891552406,0.08054577388942007,0.13353684022643916,0.229471443248311,0.2913511414390797,0.31677498014563593
-0.5986622073578596,0.009992601092220246,0.045948213274353444,0.08115755440108058,0.13488178471589024,0.2322179615694227,0.29500510648511075,0.32080178074070753
-0.5919732441471572,0.009993771497327343,0.046149287992469964,0.08175278676947448,0.13620270050488897,0.2349295172030793,0.2986171771521955,0.3247838391069451
-0.5852842809364549,0.009994766578877802,0.04634155002111049,0.08233182463381472,0.13749987930282387,0.2376062504050684,0.30218739428549923,0.3287211552443485
-0.5785953177257526,0.00999561094371346,0.046525323371241975,0.08289501677761589,0.13877361031477659,0.2402483003358341,0.3057157984112868,0.33261372915291776
-0.5719063545150502,0.009996326013464094,0.04670092318985893,0.08344270711412274,0.14002418021184,0.24285580504511797,0.3092024297324489,0.3364615608326529
-0.5652173913043479,0.009996930395204627,0.046868655865326424,0.08397523467393163,0.14125187310189805,0.24542890145672128,0.31264732812406343,0.34026465028355385
-0.5585284280936456,0.009997440215159067,0.047028819137517545,0.08449293359477497,0.14245697050086845,0.24796772535339281,0.31605053312899384,0.3440229975056207
-0.5518394648829432,0.00999786941825424,0.047181702212464455,0.08499613311343689,0.14363975130440748,0.2504724113618425,0.3194120839535234,0.3477366024988534
-0.5451505016722409,0.009998230036239673,0.0473275858812438,0.08548515755976789,0.14480049176007967,0.2529430929378829,0.3227320194630274,0.351405465263252
-0.5384615384615385,0.009998532426981333,0.04746674264281479,0.08596032635276123,0.14593946543998965,0.25537990235170027,0.3260103781776819,0.3550295857988165
-0.5317725752508362,0.009998785487421339,0.04759943683053241,0.08642195399865665,0.14705694321387797,0.25778297067325645,0.32924719826821214,0.3586089641055469
-0.5250836120401338,0.009998996842566726,0.04772592474205846,0.0868703500910313,0.14815319322268045,0.26015242775782405,0.33244251755167803,0.36214360018344316
-0.5183946488294314,0.009999173012733986,0.047846454772395255,0.0873058193128394,0.14922848085254917,0.2624884022316551,0.33559637348729915,0.3656334940325052
-0.5117056856187291,0.009999319561141582,0.047961267549770044,0.08772866144035828,0.15028306870933664,0.26479102147778666,0.3387088031723201,0.3690786456527332
-0.5050167224080268,0.009999441223798257,0.04807059607410102,0.08813917134899857,0.15131721659353922,0.26706041162198274,0.3417798433379146,0.37247905504412704
-0.4983277591973244,0.009999542023498786,0.04817466585778099,0.08853763902093445,0.15233118147570165,0.26929669751881585,0.3448095303451305,0.37583472220668673
-0.4916387959866221,0.00999962536959823,0.04827369506851667,0.08892434955450926,0.15332521747227934,0.2715000027378893,0.34779790018087603,0.3791456471404123
-0.48494983277591974,0.00999969414510257,0.04836789467396861,0.08929958317536824,0.15429957582195752,0.27367044955020065,0.3507449884539464,0.38241182984530375
-0.4782608695652174,0.009999750782484003,0.0484574685879402,0.08966361524927298,0.15525450486242584,0.27580815891464966,0.35365083039109346,0.3856332703213611
-0.47157190635451507,0.00999979732950286,0.04854261381786994,0.09001671629654649,0.15619025000760559,0.2779132504646907,0.3565154608331363,0.38880996856858424
-0.46488294314381273,0.009999835506202634,0.0486235206133882,0.0903591520081011,0.15710705372532846,0.27998584249513164,0.3593389142311149,0.3919419245869733
-0.4581939799331104,0.00999986675412965,0.04870037261570401,0.09069118326299648,0.158005155515464,0.28202605194908104,0.36212122464248736,0.3950291383765282
-0.45150501672240806,0.009999892278727574,0.04877334700759518,0.09101306614747805,0.1588847918884931,0.2840339944050446,0.3648624257273696,0.398071609937249
-0.4448160535117057,0.009999913085755728,0.04884261466378097,0.09132505197544162,0.15974619634452578,0.286009784064172,0.36756255074481986,0.4010693392691357
-0.4381270903010034,0.009999930012492966,0.04890834030146352,0.09162738731027106,0.16058959935275888,0.28795353373765625,0.37022163254916635,0.4040223263721882
-0.43143812709030105,0.009999943754404569,0.048970682630833415,0.09192031398799691,0.16141522833137326,0.28986535483428716,0.3728397035863812,0.40693057124640664
-0.4247491638795987,0.009999954887871322,0.04902979450533704,0.09220406914171797,0.16222330762786435,0.2917453573481582,0.37541679589049765,0.4097940738917909
-0.4180602006688964,0.009999963889513453,0.04908582307151726,0.09247888522723374,0.1630140584998054,0.29359364984653175,0.37795294108007443,0.41261283430834106
-0.41137123745819404,0.00999997115257739,0.04913890991824216,0.09274499004982957,0.16378769909603838,0.29541033945786005,0.38044817035470435,0.41538685249605706
-0.4046822742474917,0.00999997700079532,0.049189191225145236,0.09300260679216031,0.16454444443829058,0.29719553185996656,0.38290251449157087,0.41811612845493895
-0.39799331103678925,0.009999981700077685,0.049236797910108876,0.09325195404317325,0.16528450640321068,0.29894933126838635,0.3853160038420497,0.4208006621849868
-0.3913043478260869,0.009999985468353487,0.04928185577563152,0.0934932458280159,0.16600809370482428,0.3006718404248691,0.38768866832835847,0.4234404536862004
-0.3846153846153846,0.009999988483828763,0.04932448565392423,0.09372669163887005,0.16671541187740133,0.30236316058604384,0.3900205374402534,0.4260355029585799
-0.37792642140468224,0.009999990891902174,0.04936480355059342,0.09395249646665457,0.16740666325873396,0.30402339151224905,0.39231164023177373,0.42858581000212526
-0.3712374581939799,0.009999992810939162,0.049402920786771096,0.0941708608335392,0.16808204697381943,0.3056526314565263,0.3945620053180344,0.4310913748168365
-0.36454849498327757,0.00999999433708342,0.049438944139565615,0.0943819808262125,0.16874175891894436,0.30725097715378197,0.3967716608720667,0.4335521974027136
-0.35785953177257523,0.00999999554825419,0.04947297598071052,0.09458604812984546,0.16938599174616648,0.3088185238101155,0.3989406346217086,0.4359682777597566
-0.3511705685618729,0.009999996507459684,0.049505114413297344,0.09478325006269267,0.1700149348481879,0.31035536509231687,0.40106895384654306,0.43833961588796544
-0.34448160535117056,0.009999997265536735,0.04953545340648847,0.09497376961127402,0.17062877434361787,0.3118615931175346,0.40315664537488705,0.44066621178734017
