y,u_num_t0.0100,u_num_t0.0500,u_num_t0.1000,u_num_t0.2000,u_num_t0.5000,u_num_t1.0000
-1.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.95,0.004480756117392706,0.011405148681468257,0.016619048175655557,0.02397295511269937,0.03695216770717414,0.04531216020228536
-0.9,0.007155470392743059,0.020624698643551192,0.030960737987203713,0.04560130395941061,0.07147707644645711,0.08814551583017644
-0.85,0.008634229637491228,0.027965240880656016,0.043244930999671895,0.06503933649392768,0.10364701858539589,0.12852113163242884
-0.8,0.009389740693703222,0.03371832782832934,0.05368603139251383,0.0824391499851302,0.13353339193918504,0.1664598118097644
-0.75,0.009746236185302395,0.03815433683617295,0.06249050758123426,0.0979495893229845,0.16120625941871258,0.20198197175005306
-0.7,0.009901709839072525,0.041517803120178186,0.06985469636202885,0.11171522981825634,0.1867339169382383,0.23510751216065576
-0.6499999999999999,0.009964484773582624,0.04402443053448993,0.0759629556096028,0.12387541427039699,0.2101824722539457,0.26585569637394446
-0.6,0.00998800565222996,0.04585980893937357,0.08098621047315381,0.13456335419228885,0.2316154373351864,0.2942450315824514
-0.55,0.00999620580189247,0.04717970373501929,0.08508091506204142,0.1439053029159403,0.2510933367844822,0.3202931547358729
-0.5,0.009998873339476959,0.04811165714584525,0.08838842850649026,0.15201980597188847,0.26867333472092514,0.3440167238034102
-0.44999999999999996,0.009999685282087415,0.048757564078906294,0.09103478262496081,0.15901703175646198,0.2844088824252804,0.3654313150718511
-0.3999999999999999,0.009999917134062543,0.04919686005562143,0.0931307995832456,0.16499818319536255,0.2983493889147051,0.38455132711258433
-0.35,0.009999979395900227,0.04948997848044512,0.09477250289590593,0.17005498899351598,0.31053991647149015,0.4013898920096212
-0.29999999999999993,0.009999995154202083,0.04968178718913011,0.0960417545040447,0.17426927123195077,0.32102090299460295,0.4159587943959339
-0.25,0.009999998920479595,0.04980478515113987,0.09700704467193287,0.1777125846170817,0.32982791287613,0.4282683987972771
-0.19999999999999996,0.009999999771925894,0.04988191531607612,0.09772435993302929,0.1804459216686105,0.3369914179280736,0.43832758573144315
-0.1499999999999999,0.009999999954255292,0.04992891763164068,0.09823805686295645,0.18251947758644174,0.34253660969949185,0.4461436969569202
-0.09999999999999998,0.009999999991276754,0.04995619987363447,0.09858167546333467,0.1839724684746272,0.34648324433083183,0.45172249020851196
-0.04999999999999993,0.00999999999837668,0.04997023976372397,0.09877863472436593,0.18483299700415276,0.34884552089266085,0.4550681036989904
0.0,0.00999999999945616,0.049974549909291455,0.09884276381634655,0.1851179604229731,0.34963199395103883,0.4561830306056398
0.050000000000000044,0.00999999999837668,0.04997023976372397,0.09877863472436593,0.18483299700415276,0.34884552089266085,0.4550681036989904
0.10000000000000009,0.009999999991276754,0.04995619987363447,0.09858167546333467,0.1839724684746272,0.34648324433083183,0.45172249020851196
0.15000000000000013,0.009999999954255292,0.04992891763164068,0.09823805686295645,0.18251947758644174,0.34253660969949185,0.4461436969569202
0.20000000000000018,0.009999999771925894,0.04988191531607612,0.09772435993302929,0.1804459216686105,0.3369914179280736,0.43832758573144315
0.25,0.009999998920479595,0.04980478515113987,0.09700704467193287,0.1777125846170817,0.32982791287613,0.4282683987972771
0.30000000000000004,0.009999995154202083,0.04968178718913012,0.0960417545040447,0.17426927123195077,0.32102090299460295,0.4159587943959339
0.3500000000000001,0.009999979395900227,0.049489978480445125,0.09477250289590593,0.17005498899351598,0.31053991647149015,0.4013898920096212
0.40000000000000013,0.009999917134062543,0.04919686005562144,0.0931307995832456,0.16499818319536255,0.2983493889147051,0.38455132711258433
0.4500000000000002,0.009999685282087415,0.0487575640789063,0.09103478262496081,0.15901703175646198,0.2844088824252804,0.3654313150718511
0.5,0.009998873339476959,0.048111657145845255,0.08838842850649026,0.15201980597188847,0.26867333472092514,0.3440167238034102
0.55,0.00999620580189247,0.04717970373501929,0.08508091506204142,0.14390530291594034,0.2510933367844822,0.32029315473587294
0.6000000000000001,0.00998800565222996,0.04585980893937357,0.0809862104731538,0.13456335419228888,0.2316154373351864,0.2942450315824514
0.6500000000000001,0.009964484773582624,0.04402443053448993,0.07596295560960278,0.123875414270397,0.2101824722539457,0.26585569637394446
0.7000000000000002,0.009901709839072525,0.04151780312017818,0.06985469636202883,0.11171522981825634,0.1867339169382383,0.23510751216065578
0.75,0.009746236185302395,0.03815433683617295,0.06249050758123425,0.09794958932298452,0.16120625941871258,0.20198197175005309
0.8,0.009389740693703222,0.033718327828329335,0.053686031392513815,0.0824391499851302,0.13353339193918504,0.16645981180976444
0.8500000000000001,0.00863422963749123,0.027965240880656012,0.04324493099967189,0.06503933649392768,0.10364701858539589,0.12852113163242887
0.9000000000000001,0.007155470392743058,0.02062469864355119,0.03096073798720371,0.04560130395941061,0.07147707644645711,0.08814551583017645
0.9500000000000002,0.004480756117392706,0.011405148681468257,0.016619048175655557,0.02397295511269937,0.03695216770717414,0.045312160202285366
1.0,0.0,0.0,0.0,0.0,0.0,0.0
